Rk,Player,Team,Age,G,MP,PER,Playoff PER,,,,,,,,,,,,,,,,,,,
1,Isaiah Thomas,BOS,27,76,2569,26.5,18.1,,,,,,,,,,,,,,,,,,,
2,Marcus Smart,BOS,22,79,2399,12,11.8,,,,,,,,,,,,,,,,,,,
3,Jae Crowder,BOS,26,72,2335,14.9,14.5,,,,,,,,,,,,,,,,,,,
4,Al Horford,BOS,30,68,2193,17.7,20.1,,,,,,,,,,,,,,,,,,,
5,Avery Bradley,BOS,26,55,1835,14.4,12,,,,,,,,,,,,,,,,,,,
6,LeBron James,CLE,32,74,2794,27,30.1,,,,,,,,,,,,,,,,,,,
7,Kyrie Irving,CLE,24,72,2525,23,21.3,,,,,,,,,,,,,,,,,,,
8,Tristan Thompson,CLE,25,78,2336,15.3,14.5,,,,,,,,,,,,,,,,,,,
9,Iman Shumpert,CLE,26,76,1937,9,9.9,,,,,,,,,,,,,,,,,,,
10,Kevin Love,CLE,28,60,1885,21.1,19.7,,,,,,,,,,,,,,,,,,,
11,DeMar DeRozan,TOR,27,74,2620,24,16.6,,,,,,,,,,,,,,,,,,,
12,Kyle Lowry,TOR,30,60,2244,22.9,15.7,,,,,,,,,,,,,,,,,,,
13,Jonas Valanciunas,TOR,24,80,2066,20.1,15.6,,,,,,,,,,,,,,,,,,,
14,Serge Ibaka,TOR,25,80,2003,13.8,14.4,,,,,,,,,,,,,,,,,,,
15,DeMarre Carroll,TOR,30,72,1882,11.9,10.4,,,,,,,,,,,,,,,,,,,
1,John Wall,WAS,26,78,2836,23.2,23,,,,,,,,,,,,,,,,,,,
2,Bradley Beal,WAS,23,77,2684,20.1,18,,,,,,,,,,,,,,,,,,,
3,Otto Porter,WAS,23,80,2605,17.3,16.5,,,,,,,,,,,,,,,,,,,
4,Marcin Gortat,WAS,32,82,2556,15.4,14,,,,,,,,,,,,,,,,,,,
5,Markieff Morris,WAS,27,76,2374,13.7,12.3,,,,,,,,,,,,,,,,,,,
1,Dennis Schroder,ATL,23,79,2485,16.1,22.6,,,,,,,,,,,,,,,,,,,
2,Paul Millsap,ATL,31,69,2343,17.8,21.3,,,,,,,,,,,,,,,,,,,
3,Dwight Howard,ATL,31,74,2199,20.8,13.9,,,,,,,,,,,,,,,,,,,
4,Tim Hardaway,ATL,24,79,2154,15.2,3.8,,,,,,,,,,,,,,,,,,,
5,Kent Bazemore,ATL,27,73,1963,11.5,9.4,,,,,,,,,,,,,,,,,,,
1,Giannis Antetokounmpo,MIL,22,80,2845,26.1,21.9,,,,,,,,,,,,,,,,,,,
2,Tony Snell,MIL,25,80,2336,9.7,10.8,,,,,,,,,,,,,,,,,,,
3,Matthew Dellavedova,MIL,26,76,1986,9.4,6.9,,,,,,,,,,,,,,,,,,,
4,Malcolm Brogdon,MIL,24,75,1982,14.9,8.1,,,,,,,,,,,,,,,,,,,
5,Greg Monroe,MIL,26,81,1823,21.1,24.3,,,,,,,,,,,,,,,,,,,
1,Paul George,IND,26,75,2689,20.2,21,,,,,,,,,,,,,,,,,,,
2,Jeff Teague,IND,28,82,2657,19.2,18.3,,,,,,,,,,,,,,,,,,,
3,Myles Turner,IND,20,81,2541,18.5,9.8,,,,,,,,,,,,,,,,,,,
4,Thaddeus Young,IND,28,74,2237,14.9,18,,,,,,,,,,,,,,,,,,,
5,Monta Ellis,IND,31,74,1998,9.9,7.4,,,,,,,,,,,,,,,,,,,
