Rank,Teams,Playoff,W,L,W/L%,GB,PS/G,PA/G,SRS
1,Boston Celtics*,3,53,29,0.646,0,108,105.4,2.25
2,Cleveland Cavaliers*,4,51,31,0.622,2,110.3,107.2,2.87
3,Toronto Raptors* ,2,51,31,0.622,2,106.9,102.6,3.65
4,Washington Wizards* ,2,49,33,0.598,4,109.2,107.4,1.36
5,Atlanta Hawks* ,1,43,39,0.524,10,103.2,104,-1.23
6,Milwaukee Bucks* ,1,42,40,0.512,11,103.6,103.8,-0.45
7,Indiana Pacers* ,1,42,40,0.512,11,105.1,105.3,-0.64
8,Chicago Bulls* ,1,41,41,0.5,12,102.9,102.4,0.03
9,Miami Heat ,0,41,41,0.5,12,103.2,102.1,0.77
10,Detroit Pistons ,0,37,45,0.451,16,101.3,102.5,-1.29
11,Charlotte Hornets ,0,36,46,0.439,17,104.9,104.7,-0.07
12,New York Knicks ,0,31,51,0.378,22,104.3,108,-3.87
13,Orlando Magic ,0,29,53,0.354,24,101.1,107.6,-6.61
14,Philadelphia 76ers ,0,28,54,0.341,25,102.4,108.1,-5.83
15,Brooklyn Nets ,0,20,62,0.244,33,105.8,112.5,-6.74
16,Golden State Warriors* ,5,67,15,0.817,0,115.9,104.3,11.35
17,San Antonio Spurs* ,3,61,21,0.744,6,105.3,98.1,7.13
18,Houston Rockets* ,2,55,27,0.671,12,115.3,109.6,5.84
19,Los Angeles Clippers* ,1,51,31,0.622,16,108.7,104.4,4.42
20,Utah Jazz* ,2,51,31,0.622,16,100.7,96.8,4
21,Oklahoma City Thunder* ,1,47,35,0.573,20,106.6,105.8,1.14
22,Memphis Grizzlies*,1,43,39,0.524,24,100.5,100,0.96
23,Portland Trail Blazers* ,1,41,41,0.5,26,107.9,108.5,-0.23
24,Denver Nuggets,0,40,42,0.488,27,111.7,111.2,0.7
25,New Orleans Pelicans ,0,34,48,0.415,33,104.3,106.4,-1.69
26,Dallas Mavericks ,0,33,49,0.402,34,97.9,100.8,-2.53
27,Sacramento Kings ,0,32,50,0.39,35,102.8,106.7,-3.29
28,Minnesota Timberwolves  ,0,31,51,0.378,36,105.6,106.7,-0.64
29,Los Angeles Lakers ,0,26,56,0.317,41,104.6,111.5,-6.29
30,Phoenix Suns ,0,24,58,0.293,43,107.7,113.3,-5.1
