Player,Team,Age,G,MP,PER,P-PER,,
DeMar DeRozan,TOR,28,80,33.9,21,16.3,,
Kyle Lowry,TOR,31,78,32.2,19.5,19.9,,
Serge Ibaka,TOR,28,76,27.5,14.7,10.9,,
Jonas Valanciunas,TOR,25,77,22.4,22.5,25.2,,
Delon Wright,TOR,25,69,20.8,16.5,13.1,,
Jayson Tatum,BOS,19,80,2438,15.3,16.2,,
Al Horford,BOS,31,72,2277,17.6,20.1,,
Jaylen Brown,BOS,21,70,2152,13.6,16,,
Terry Rozier,BOS,23,80,2068,15.1,17.3,,
Marcus Smart,BOS,23,54,1614,10.8,9.3,,
Ben Simmons,PHI,21,81,2732,20,16.6,,
Robert Covington,PHI,27,80,2532,12.9,9.6,,
Dario Saric,PHI,23,78,2310,15.8,18.6,,
J.J. Redick,PHI,33,70,2116,15.9,14.9,,
Joel Embiid,PHI,23,63,1912,22.9,18.1,,
LeBron James,CLE,33,82,3026,28.6,32.2,,
J.R. Smith,CLE,32,80,2244,8.4,6.7,,
Jeff Green,CLE,31,78,1828,14.8,10.3,,
Kevin Love,CLE,29,59,1651,22.4,15.5,,
Tristan Thompson,CLE,26,19,416,13.6,15,,
Thaddeus Young,IND,29,81,2607,14.8,17.9,,
Victor Oladipo,IND,25,75,2552,23.1,22,,
Bojan Bogdanovic,IND,28,80,2464,13.9,7.5,,
Cory Joseph,IND,26,82,2210,11,12.7,,
Darren Collison,IND,30,69,2018,18.8,14.8,,
Josh Richardson,MIA,24,81,2689,13.6,12.8,,
Goran Dragic,MIA,31,75,2378,16.6,14.3,,
Tyler Johnson,MIA,25,72,2052,13,14.4,,
Wayne Ellington,MIA,30,77,2041,12.5,8.1,,
Hassan Whiteside,MIA,28,54,1364,24.1,6.9,,
Khris Middleton,MIL,26,82,2982,17.4,22.5,,
Giannis Antetokounmpo,MIL,23,75,2756,27.3,26.6,,
Eric Bledsoe,MIL,28,71,2239,20,12.9,,
Tony Snell,MIL,26,75,2053,8.5,3.5,,
Malcolm Brogdon,MIL,25,48,1436,14.3,7.9,,
Bradley Beal,WAS,24,82,2977,18.4,17,,
Otto Porter,WAS,24,77,2432,18.3,12.9,,
John Wall,WAS,27,41,1410,19.1,24.2,,
Marcin Gortat,WAS,33,82,2075,14.7,11.6,,
Markieff Morris,WAS,28,73,1968,13.2,13.5,,
James Harden,HOU,28,72,2551,29.8,24.9,,
Trevor Ariza,HOU,32,67,2269,11.8,7.6,,
Eric Gordon,HOU,29,69,2154,15.2,12.1,,
Clint Capela,HOU,23,74,2034,24.5,24.1,,
Chris Paul,HOU,32,58,1847,24.4,22.8,,
Klay Thompson,GSW,27,73,2506,16,13.9,,
Kevin Durant,GSW,29,68,2325,26,25.1,,
Draymond Green,GSW,27,70,2287,16.1,16.2,,
Stephen Curry,GSW,29,51,1631,28.2,22.3,,
Andre Iguodala,GSW,34,64,1622,11.2,14.7,,
CJ McCollum,POR,26,81,2923,17,19.6,,
Damian Lillard,POR,27,73,2670,25.2,9.5,,
Jusuf Nurkic,POR,23,79,2088,19.2,23,,
Al-Farouq Aminu,POR,27,69,2072,12,21.3,,
Evan Turner,POR,29,79,2034,9.9,8.3,,
Russell Westbrook,OKC,29,80,2914,24.7,20.3,,
Paul George,OKC,27,79,2891,18.7,14.6,,
Carmelo Anthony,OKC,33,78,2501,12.7,9.7,,
Steven Adams,OKC,24,76,2487,20.6,16,,
Jerami Grant,OKC,23,81,1647,16.2,11.3,,
Donovan Mitchell,UTA,21,79,2638,16.7,16.8,,
Joe Ingles,UTA,30,82,2578,14.4,12.3,,
Ricky Rubio,UTA,27,77,2254,15.4,15.9,,
Derrick Favors,UTA,26,77,2153,18.8,16.4,,
Rudy Gobert,UTA,25,56,1816,20.7,19.4,,
Jrue Holiday,NOP,27,81,2927,17.8,19.7,,
Anthony Davis,NOP,24,75,2727,28.9,25.8,,
E'Twaun Moore,NOP,28,82,2586,12.1,8.7,,
Darius Miller,NOP,27,82,1944,9.3,8.6,,
Rajon Rondo,NOP,31,65,1705,15.3,15.6,,
LaMarcus Aldridge,SAS,32,75,2509,25,24.8,,
Patty Mills,SAS,29,82,2107,11.8,10.4,,
Kyle Anderson,SAS,24,74,1978,15.9,17.5,,
Pau Gasol,SAS,37,77,1812,18.9,15,,
Danny Green,SAS,30,70,1791,11.4,2.7,,
Andrew Wiggins,MIN,22,82,2979,13,11.7,,
Karl-Anthony Towns,MIN,22,82,2918,24.9,16.9,,
Taj Gibson,MIN,32,82,2726,15.4,10.5,,
Jeff Teague,MIN,29,70,2311,16.4,13.2,,
Jimmy Butler,MIN,28,59,2164,23.7,16.9,,
