Rank,Teams,Playoff Run,W,L,W/L%,GB,PS/G,PA/G,SRS
1,Toronto Raptors* (1) ,Second Round,59,23,0.72,—,111.7,103.9,7.29
2,Boston Celtics* (2) ,East Finals,55,27,0.671,4,104,100.4,3.23
3,Philadelphia 76ers* (3) ,Second Round,52,30,0.634,7,109.8,105.3,4.3
4,Cleveland Cavaliers* (4) ,NBA Finals,50,32,0.61,9,110.9,109.9,0.59
5,Indiana Pacers* (5) ,First Round,48,34,0.585,11,105.6,104.2,1.18
6,Miami Heat* (6) ,First Round,44,38,0.537,15,103.4,102.9,0.15
7,Milwaukee Bucks* (7) ,First Round,44,38,0.537,15,106.5,106.8,-0.45
8,Washington Wizards* (8) ,First Round,43,39,0.524,16,106.6,106,0.53
9,Detroit Pistons (9) ,,39,43,0.476,20,103.8,103.9,-0.26
10,Charlotte Hornets (10) ,,36,46,0.439,23,108.2,108,0.07
11,New York Knicks (11) ,,29,53,0.354,30,104.5,108,-3.53
12,Brooklyn Nets (12) ,,28,54,0.341,31,106.6,110.3,-3.67
13,Chicago Bulls (13) ,,27,55,0.329,32,102.9,110,-6.84
14,Orlando Magic (14) ,,25,57,0.305,34,103.4,108.2,-4.92
15,Atlanta Hawks (15) ,,24,58,0.293,35,103.4,108.8,-5.3
16,Houston Rockets* (1) ,West Finals,65,17,0.793,—,112.4,103.9,8.21
17,Golden State Warriors* (2) ,NBA Finals,58,24,0.707,7,113.5,107.5,5.79
18,Portland Trail Blazers* (3) ,First Round,49,33,0.598,16,105.6,103,2.6
19,Oklahoma City Thunder* (4) ,First Round,48,34,0.585,17,107.9,104.4,3.42
20,Utah Jazz* (5) ,Second Round,48,34,0.585,17,104.1,99.8,4.47
21,New Orleans Pelicans* (6) ,Second Round,48,34,0.585,17,111.7,110.4,1.48
22,San Antonio Spurs* (7) ,First Round,47,35,0.573,18,102.7,99.8,2.89
23,Minnesota Timberwolves* (8) ,First Round,47,35,0.573,18,109.5,107.3,2.35
24,Denver Nuggets (9) ,,46,36,0.561,19,110,108.5,1.57
25,Los Angeles Clippers (10) ,,42,40,0.512,23,109,109,0.15
26,Los Angeles Lakers (11) ,,35,47,0.427,30,108.1,109.6,-1.44
27,Sacramento Kings (12) ,,27,55,0.329,38,98.8,105.8,-6.6
28,Dallas Mavericks (13) ,,24,58,0.293,41,102.3,105.4,-2.7
29,Memphis Grizzlies (14) ,,22,60,0.268,43,99.3,105.5,-5.81
30,Phoenix Suns (15) ,,21,61,0.256,44,103.9,113.3,-8.8
