Player,Team,Age,G,MP,PER,,,
Giannis Antetokounmpo,MIL,24,65,2144,30.7,,,
Khris Middleton,MIL,27,68,2131,16,,,
Eric Bledsoe,MIL,29,69,2025,18.9,,,
Brook Lopez,MIL,30,71,2022,14.6,,,
Malcolm Brogdon,MIL,26,64,1832,17.9,,,
Pascal Siakam,TOR,24,70,2234,18.4,,,
Kyle Lowry,TOR,32,57,1971,17,,,
Danny Green,TOR,31,69,1932,12.1,,,
Serge Ibaka,TOR,29,64,1790,18.3,,,
Kawhi Leonard,TOR,27,51,1752,26.2,,,
Ben Simmons,PHI,22,70,2408,20.2,,,
J.J. Redick,PHI,34,67,2107,14.7,,,
Joel Embiid,PHI,24,58,1955,25.6,,,
Jimmy Butler,PHI,29,48,1596,20.5,,,
T.J. McConnell,PHI,26,65,1281,13.8,,,
Bojan Bogdanovic,IND,29,72,2298,15.8,,,
Thaddeus Young,IND,30,72,2219,16,,,
Darren Collison,IND,31,71,2020,16.9,,,
Myles Turner,IND,22,65,1862,18,,,
Cory Joseph,IND,27,72,1818,11.4,,,
Jayson Tatum,BOS,20,70,2184,15.4,,,
Kyrie Irving,BOS,26,59,1948,24.9,,,
Marcus Smart,BOS,24,70,1935,13.3,,,
Marcus Morris,BOS,29,66,1833,14.9,,,
Al Horford,BOS,32,61,1755,19.6,,,
Blake Griffin,DET,29,67,2366,20.8,,,
Andre Drummond,DET,25,67,2221,23.1,,,
Reggie Jackson,DET,28,70,1982,15.4,,,
Langston Galloway,DET,27,68,1459,11.1,,,
Reggie Bullock,DET,27,44,1355,11,,,
D'Angelo Russell,BRK,22,72,2165,19.3,,,
Joe Harris,BRK,27,68,2017,13.4,,,
Jarrett Allen,BRK,20,71,1887,19,,,
Spencer Dinwiddie,BRK,25,59,1660,17.4,,,
DeMarre Carroll,BRK,32,59,1482,12.5,,,
Josh Richardson,MIA,25,68,2370,14.1,,,
Justise Winslow,MIA,22,61,1814,13.2,,,
Bam Adebayo,MIA,21,70,1582,17.5,,,
Dwyane Wade,MIA,37,60,1538,15.5,,,
Rodney McGruder,MIA,27,63,1508,9.6,,,
Kevin Durant,GSW,30,67,2372,24.3,,,
Klay Thompson,GSW,28,67,2312,17.4,,,
Stephen Curry,GSW,30,59,2029,24.5,,,
Draymond Green,GSW,28,55,1728,12.5,,,
Andre Iguodala,GSW,35,61,1440,13.3,,,
Nikola Jokic,DEN,23,68,2143,26.8,,,
Jamal Murray,DEN,21,63,2080,15.3,,,
Monte Morris,DEN,23,69,1678,16.2,,,
Malik Beasley,DEN,22,69,1640,14.7,,,
Paul Millsap,DEN,33,58,1554,19.1,,,
James Harden,HOU,29,67,2493,29.8,,,
P.J. Tucker,HOU,33,71,2473,9.4,,,
Clint Capela,HOU,24,56,1902,23.6,,,
Eric Gordon,HOU,30,58,1880,12.1,,,
Chris Paul,HOU,33,47,1523,19.4,,,
Damian Lillard,POR,28,69,2451,24,,,
CJ McCollum,POR,27,68,2321,17.3,,,
Al-Farouq Aminu,POR,28,70,2011,13.1,,,
Jusuf Nurkic,POR,24,69,1886,23.2,,,
Evan Turner,POR,30,62,1396,10.8,,,
DeMar DeRozan,SAS,29,66,2321,19.5,,,
LaMarcus Aldridge,SAS,33,70,2306,22.7,,,
Bryn Forbes,SAS,25,71,1972,11.4,,,
Patty Mills,SAS,30,71,1676,13,,,
Marco Belinelli,SAS,32,69,1597,12.7,,,
Paul George,OKC,28,67,2455,23.9,,,
Steven Adams,OKC,25,69,2323,18.8,,,
Jerami Grant,OKC,24,69,2231,14.2,,,
Russell Westbrook,OKC,30,62,2218,20.8,,,
Dennis Schroder,OKC,25,68,1967,12.6,,,
Donovan Mitchell,UTA,22,66,2231,16.6,,,
Rudy Gobert,UTA,26,70,2223,24.3,,,
Joe Ingles,UTA,31,70,2210,12.6,,,
Jae Crowder,UTA,28,69,1918,12.2,,,
Ricky Rubio,UTA,28,60,1706,13.2,,,
Patrick Beverley,LAC,30,72,1987,11.8,,,
Tobias Harris,LAC,26,55,1903,18.4,,,
Montrezl Harrell,LAC,25,72,1903,23.5,,,
Shai Gilgeous-Alexander,LAC,20,72,1860,12.8,,,
Danilo Gallinari,LAC,30,60,1826,20.5,,,
