Rank,Teams,W,L,W/L%,GB,PS/G,PA/G,SRS
1,Milwaukee Bucks* ,52,18,0.743,—,117.7,108.6,8.49
2,Toronto Raptors* ,50,21,0.704,2.5,114.1,108.6,5.25
3,Philadelphia 76ers* ,45,25,0.643,7,115.1,111.7,3.15
4,Indiana Pacers ,44,27,0.62,8.5,107.9,103.9,3.18
5,Boston Celtics ,43,28,0.606,9.5,112.7,107.6,4.55
6,Detroit Pistons ,36,34,0.514,16,107.4,107.9,-0.83
7,Brooklyn Nets ,36,36,0.5,17,111.5,111.8,-1.1
8,Miami Heat ,34,36,0.486,18,105.9,105.7,-0.26
9,Orlando Magic  ,33,38,0.465,19.5,105.7,106.2,-0.86
10,Charlotte Hornets ,31,38,0.449,20.5,110.3,111.5,-1.62
11,Washington Wizards  ,30,41,0.423,22.5,114.4,116.9,-2.82
12,Atlanta Hawks ,24,47,0.338,28.5,112.5,118.5,-6.58
13,Chicago Bulls ,20,52,0.278,33,105.3,113.1,-7.7
14,Cleveland Cavaliers ,18,53,0.254,34.5,104.3,113.5,-9.22
15,New York Knicks ,14,57,0.197,38.5,105.1,114,-8.51
16,Golden State Warriors  ,47,22,0.681,—,117.7,111.8,6
17,Denver Nuggets ,47,22,0.681,—,112,107,5.06
18,Houston Rockets ,44,26,0.629,3.5,112.9,109.9,3.36
19,Portland Trail Blazers ,43,27,0.614,4.5,113.9,110.3,4.11
20,San Antonio Spurs ,42,29,0.592,6,111.9,110.3,2
21,Oklahoma City Thunder ,42,29,0.592,6,114.5,110.9,3.41
22,Utah Jazz ,41,29,0.586,6.5,110.2,106.2,4.64
23,Los Angeles Clippers ,41,30,0.577,7,114.7,113.7,1.31
24,Sacramento Kings ,34,35,0.493,13,114,114.9,-0.51
25,Minnesota Timberwolves,32,38,0.457,15.5,112.6,113.5,-0.76
26,Los Angeles Lakers ,31,39,0.443,16.5,111.9,114,-1.94
27,New Orleans Pelicans  ,31,42,0.425,18,116,116.1,0.22
28,Dallas Mavericks ,28,42,0.4,19.5,108.2,109.9,-1.25
29,Memphis Grizzlies ,28,42,0.4,19.5,102.1,104.6,-2
30,Phoenix Suns,17,55,0.236,31.5,107.1,116.1,-8.06
