Player,Team,Age,G,MPG,MP,PER,PPER,Year,Team PER,PPER
Giannis Antetokounmpo,MIL,24,65,32.98461538,2144,30.7,0,2019,19.62,0
Khris Middleton,MIL,27,68,31.33823529,2131,16,0,2019,,
Eric Bledsoe,MIL,29,69,29.34782609,2025,18.9,0,2019,,
Brook Lopez,MIL,30,71,28.47887324,2022,14.6,0,2019,,
Malcolm Brogdon,MIL,26,64,28.625,1832,17.9,0,2019,,
Pascal Siakam,TOR,24,70,31.91428571,2234,18.4,0,2019,18.4,0
Kyle Lowry,TOR,32,57,34.57894737,1971,17,0,2019,,
Danny Green,TOR,31,69,28,1932,12.1,0,2019,,
Serge Ibaka,TOR,29,64,27.96875,1790,18.3,0,2019,,
Kawhi Leonard,TOR,27,51,34.35294118,1752,26.2,0,2019,,
Ben Simmons,PHI,22,70,34.4,2408,20.2,0,2019,18.96,0
J.J. Redick,PHI,34,67,31.44776119,2107,14.7,0,2019,,
Joel Embiid,PHI,24,58,33.70689655,1955,25.6,0,2019,,
Jimmy Butler,PHI,29,48,33.25,1596,20.5,0,2019,,
T.J. McConnell,PHI,26,65,19.70769231,1281,13.8,0,2019,,
Bojan Bogdanovic,IND,29,72,31.91666667,2298,15.8,0,2019,15.62,0
Thaddeus Young,IND,30,72,30.81944444,2219,16,0,2019,,
Darren Collison,IND,31,71,28.45070423,2020,16.9,0,2019,,
Myles Turner,IND,22,65,28.64615385,1862,18,0,2019,,
Cory Joseph,IND,27,72,25.25,1818,11.4,0,2019,,
Jayson Tatum,BOS,20,70,31.2,2184,15.4,0,2019,17.62,0
Kyrie Irving,BOS,26,59,33.01694915,1948,24.9,0,2019,,
Marcus Smart,BOS,24,70,27.64285714,1935,13.3,0,2019,,
Marcus Morris,BOS,29,66,27.77272727,1833,14.9,0,2019,,
Al Horford,BOS,32,61,28.7704918,1755,19.6,0,2019,,
Blake Griffin,DET,29,67,35.31343284,2366,20.8,0,2019,16.28,0
Andre Drummond,DET,25,67,33.14925373,2221,23.1,0,2019,,
Reggie Jackson,DET,28,70,28.31428571,1982,15.4,0,2019,,
Langston Galloway,DET,27,68,21.45588235,1459,11.1,0,2019,,
Reggie Bullock,DET,27,44,30.79545455,1355,11,0,2019,,
D'Angelo Russell,BRK,22,72,30.06944444,2165,19.3,0,2019,16.32,0
Joe Harris,BRK,27,68,29.66176471,2017,13.4,0,2019,,
Jarrett Allen,BRK,20,71,26.57746479,1887,19,0,2019,,
Spencer Dinwiddie,BRK,25,59,28.13559322,1660,17.4,0,2019,,
